model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,637,original,541,2,increaseLength,1.18,54.07% vs 45.93%
Team-ACE_ToolACE-2-8B,increaseLength,603,original,516,2,increaseLength,1.17,53.89% vs 46.11%
MadeAgents_Hammer2.1-7b,increaseLength,534,original,614,2,original,1.15,46.52% vs 53.48%
MadeAgents_Hammer2.1-7b,makeCasual,653,original,566,2,makeCasual,1.15,53.57% vs 46.43%
meta-llama_Llama-3.1-8B-Instruct,makeCasual,624,original,545,2,makeCasual,1.14,53.38% vs 46.62%
meta-llama_Llama-3.1-8B-Instruct,makeProfessional,615,original,557,2,makeProfessional,1.1,52.47% vs 47.53%
Salesforce_Llama-xLAM-2-8b-fc-r,makeProfessional,626,original,578,2,tie,1.08,51.99% vs 48.01%
MadeAgents_Hammer2.1-7b,makeProfessional,627,original,586,2,tie,1.07,51.69% vs 48.31%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,598,original,560,2,tie,1.07,51.64% vs 48.36%
Qwen_Qwen2.5-7B-Instruct-FC,numbersLine,592,original,566,2,tie,1.05,51.12% vs 48.88%
Salesforce_Llama-xLAM-2-8b-fc-r,makeCasual,616,original,588,2,tie,1.05,51.16% vs 48.84%
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,590,original,567,2,tie,1.04,50.99% vs 49.01%
Team-ACE_ToolACE-2-8B,maintenanceLine,543,original,533,2,tie,1.02,50.46% vs 49.54%
Team-ACE_ToolACE-2-8B,makeCasual,549,original,537,2,tie,1.02,50.55% vs 49.45%
Team-ACE_ToolACE-2-8B,makeProfessional,543,original,534,2,tie,1.02,50.42% vs 49.58%
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,582,original,576,2,tie,1.01,50.26% vs 49.74%
Team-ACE_ToolACE-2-8B,numbersLine,536,original,544,2,tie,1.01,49.63% vs 50.37%
Team-ACE_ToolACE-2-8B,companyName,545,original,547,2,tie,1.0,49.91% vs 50.09%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1097,makeProfessional,45,2,endorsementLine,24.38,96.06% vs 3.94%
MadeAgents_Hammer2.1-7b,endorsementLine,1145,maintenanceLine,48,2,endorsementLine,23.85,95.98% vs 4.02%
MadeAgents_Hammer2.1-7b,endorsementLine,1131,makeProfessional,55,2,endorsementLine,20.56,95.36% vs 4.64%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1098,makeCasual,56,2,endorsementLine,19.61,95.15% vs 4.85%
MadeAgents_Hammer2.1-7b,endorsementLine,1125,makeCasual,61,2,endorsementLine,18.44,94.86% vs 5.14%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1061,makeCasual,60,2,fusion,17.68,94.65% vs 5.35%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1094,makeProfessional,64,2,endorsementLine,17.09,94.47% vs 5.53%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,65,endorsementLine,1094,2,endorsementLine,16.83,5.61% vs 94.39%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1059,makeProfessional,63,2,fusion,16.81,94.39% vs 5.61%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1089,maintenanceLine,67,2,endorsementLine,16.25,94.20% vs 5.80%
MadeAgents_Hammer2.1-7b,endorsementLine,1155,numbersLine,73,2,endorsementLine,15.82,94.06% vs 5.94%
meta-llama_Llama-3.1-8B-Instruct,companyName,70,endorsementLine,1096,2,endorsementLine,15.66,6.00% vs 94.00%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1091,maintenanceLine,70,2,endorsementLine,15.59,93.97% vs 6.03%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1098,numbersLine,71,2,endorsementLine,15.46,93.93% vs 6.07%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1041,increaseLength,68,2,fusion,15.31,93.87% vs 6.13%
MadeAgents_Hammer2.1-7b,endorsementLine,1068,increaseLength,75,2,endorsementLine,14.24,93.44% vs 6.56%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1086,numbersLine,77,2,endorsementLine,14.1,93.38% vs 6.62%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,75,fusion,1054,2,fusion,14.05,6.64% vs 93.36%
MadeAgents_Hammer2.1-7b,companyName,85,endorsementLine,1134,2,endorsementLine,13.34,6.97% vs 93.03%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1062,makeCasual,90,2,endorsementLine,11.8,92.19% vs 7.81%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1011,numbersLine,99,2,fusion,10.21,91.08% vs 8.92%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1009,maintenanceLine,104,2,fusion,9.7,90.66% vs 9.34%
meta-llama_Llama-3.1-8B-Instruct,fusion,459,increaseLength,48,2,fusion,9.56,90.53% vs 9.47%
meta-llama_Llama-3.1-8B-Instruct,fusion,424,makeCasual,45,2,fusion,9.42,90.41% vs 9.59%
meta-llama_Llama-3.1-8B-Instruct,fusion,389,makeProfessional,47,2,fusion,8.28,89.22% vs 10.78%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,963,increaseLength,129,2,endorsementLine,7.47,88.19% vs 11.81%
meta-llama_Llama-3.1-8B-Instruct,companyName,52,fusion,368,2,fusion,7.08,12.38% vs 87.62%
meta-llama_Llama-3.1-8B-Instruct,fusion,316,maintenanceLine,47,2,fusion,6.72,87.05% vs 12.95%
meta-llama_Llama-3.1-8B-Instruct,fusion,375,numbersLine,57,2,fusion,6.58,86.81% vs 13.19%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,983,increaseLength,155,2,endorsementLine,6.34,86.38% vs 13.62%
meta-llama_Llama-3.1-8B-Instruct,addExample,55,fusion,343,2,fusion,6.24,13.82% vs 86.18%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,164,fusion,930,2,fusion,5.67,14.99% vs 85.01%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,943,increaseLength,168,2,endorsementLine,5.61,84.88% vs 15.12%
MadeAgents_Hammer2.1-7b,fusion,948,increaseLength,184,2,fusion,5.15,83.75% vs 16.25%
meta-llama_Llama-3.1-8B-Instruct,addExample,172,endorsementLine,881,2,endorsementLine,5.12,16.33% vs 83.67%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,191,endorsementLine,940,2,endorsementLine,4.92,16.89% vs 83.11%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,929,makeCasual,212,2,endorsementLine,4.38,81.42% vs 18.58%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,924,makeProfessional,215,2,endorsementLine,4.3,81.12% vs 18.88%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,928,maintenanceLine,226,2,endorsementLine,4.11,80.42% vs 19.58%
MadeAgents_Hammer2.1-7b,addExample,240,endorsementLine,920,2,endorsementLine,3.83,20.69% vs 79.31%
MadeAgents_Hammer2.1-7b,fusion,904,makeProfessional,247,2,fusion,3.66,78.54% vs 21.46%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,229,fusion,811,2,fusion,3.54,22.02% vs 77.98%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,826,increaseLength,235,2,fusion,3.51,77.85% vs 22.15%
MadeAgents_Hammer2.1-7b,companyName,907,increaseLength,262,2,companyName,3.46,77.59% vs 22.41%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,250,endorsementLine,855,2,endorsementLine,3.42,22.62% vs 77.38%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,281,endorsementLine,933,2,endorsementLine,3.32,23.15% vs 76.85%
MadeAgents_Hammer2.1-7b,fusion,883,makeCasual,267,2,fusion,3.31,76.78% vs 23.22%
MadeAgents_Hammer2.1-7b,companyName,292,fusion,851,2,fusion,2.91,25.55% vs 74.45%
MadeAgents_Hammer2.1-7b,fusion,851,numbersLine,292,2,fusion,2.91,74.45% vs 25.55%
MadeAgents_Hammer2.1-7b,addExample,851,increaseLength,297,2,addExample,2.87,74.13% vs 25.87%
MadeAgents_Hammer2.1-7b,fusion,837,maintenanceLine,294,2,fusion,2.85,74.01% vs 25.99%
Team-ACE_ToolACE-2-8B,endorsementLine,819,makeCasual,295,2,endorsementLine,2.78,73.52% vs 26.48%
Team-ACE_ToolACE-2-8B,endorsementLine,806,makeProfessional,300,2,endorsementLine,2.69,72.88% vs 27.12%
Team-ACE_ToolACE-2-8B,companyName,244,fusion,655,2,fusion,2.68,27.14% vs 72.86%
MadeAgents_Hammer2.1-7b,increaseLength,324,maintenanceLine,854,2,maintenanceLine,2.64,27.50% vs 72.50%
Team-ACE_ToolACE-2-8B,companyName,310,endorsementLine,810,2,endorsementLine,2.61,27.68% vs 72.32%
Team-ACE_ToolACE-2-8B,fusion,628,maintenanceLine,241,2,fusion,2.61,72.27% vs 27.73%
MadeAgents_Hammer2.1-7b,addExample,841,makeProfessional,325,2,addExample,2.59,72.13% vs 27.87%
Team-ACE_ToolACE-2-8B,fusion,658,numbersLine,255,2,fusion,2.58,72.07% vs 27.93%
Team-ACE_ToolACE-2-8B,fusion,641,makeCasual,250,2,fusion,2.56,71.94% vs 28.06%
MadeAgents_Hammer2.1-7b,companyName,877,makeProfessional,346,2,companyName,2.53,71.71% vs 28.29%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,777,makeCasual,315,2,fusion,2.47,71.15% vs 28.85%
Team-ACE_ToolACE-2-8B,fusion,633,makeProfessional,258,2,fusion,2.45,71.04% vs 28.96%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,855,numbersLine,367,2,endorsementLine,2.33,69.97% vs 30.03%
Team-ACE_ToolACE-2-8B,addExample,183,fusion,427,2,fusion,2.33,30.00% vs 70.00%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,750,makeProfessional,326,2,fusion,2.3,69.70% vs 30.30%
Team-ACE_ToolACE-2-8B,endorsementLine,772,maintenanceLine,335,2,endorsementLine,2.3,69.74% vs 30.26%
meta-llama_Llama-3.1-8B-Instruct,addExample,683,numbersLine,306,2,addExample,2.23,69.06% vs 30.94%
Team-ACE_ToolACE-2-8B,fusion,607,increaseLength,273,2,fusion,2.22,68.98% vs 31.02%
MadeAgents_Hammer2.1-7b,addExample,807,makeCasual,367,2,addExample,2.2,68.74% vs 31.26%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,337,fusion,743,2,fusion,2.2,31.20% vs 68.80%
Team-ACE_ToolACE-2-8B,endorsementLine,765,numbersLine,350,2,endorsementLine,2.19,68.61% vs 31.39%
MadeAgents_Hammer2.1-7b,companyName,840,makeCasual,389,2,companyName,2.16,68.35% vs 31.65%
meta-llama_Llama-3.1-8B-Instruct,addExample,598,increaseLength,292,2,addExample,2.05,67.19% vs 32.81%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,775,makeProfessional,379,2,maintenanceLine,2.04,67.16% vs 32.84%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,714,maintenanceLine,352,2,fusion,2.03,66.98% vs 33.02%
MadeAgents_Hammer2.1-7b,maintenanceLine,810,makeProfessional,407,2,maintenanceLine,1.99,66.56% vs 33.44%
MadeAgents_Hammer2.1-7b,addExample,386,fusion,750,2,fusion,1.94,33.98% vs 66.02%
meta-llama_Llama-3.1-8B-Instruct,addExample,664,makeCasual,343,2,addExample,1.94,65.94% vs 34.06%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,775,makeProfessional,402,2,maintenanceLine,1.93,65.85% vs 34.15%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,758,makeCasual,396,2,maintenanceLine,1.91,65.68% vs 34.32%
Team-ACE_ToolACE-2-8B,endorsementLine,738,increaseLength,386,2,endorsementLine,1.91,65.66% vs 34.34%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,716,numbersLine,376,2,fusion,1.9,65.57% vs 34.43%
meta-llama_Llama-3.1-8B-Instruct,addExample,643,makeProfessional,344,2,addExample,1.87,65.15% vs 34.85%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,730,increaseLength,393,2,addExample,1.86,65.00% vs 35.00%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,692,makeCasual,375,2,increaseLength,1.85,64.85% vs 35.15%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,697,makeProfessional,378,2,increaseLength,1.84,64.84% vs 35.16%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,758,makeCasual,425,2,maintenanceLine,1.78,64.07% vs 35.93%
Team-ACE_ToolACE-2-8B,addExample,653,numbersLine,368,2,addExample,1.77,63.96% vs 36.04%
MadeAgents_Hammer2.1-7b,maintenanceLine,779,makeCasual,442,2,maintenanceLine,1.76,63.80% vs 36.20%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,717,companyName,408,2,addExample,1.76,63.73% vs 36.27%
MadeAgents_Hammer2.1-7b,addExample,762,numbersLine,436,2,addExample,1.75,63.61% vs 36.39%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,683,numbersLine,398,2,increaseLength,1.72,63.18% vs 36.82%
Team-ACE_ToolACE-2-8B,addExample,652,companyName,383,2,addExample,1.7,63.00% vs 37.00%
Team-ACE_ToolACE-2-8B,addExample,652,makeCasual,388,2,addExample,1.68,62.69% vs 37.31%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,708,makeCasual,432,2,addExample,1.64,62.11% vs 37.89%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,702,makeProfessional,433,2,addExample,1.62,61.85% vs 38.15%
Team-ACE_ToolACE-2-8B,addExample,638,maintenanceLine,398,2,addExample,1.6,61.58% vs 38.42%
Team-ACE_ToolACE-2-8B,addExample,634,makeProfessional,398,2,addExample,1.59,61.43% vs 38.57%
meta-llama_Llama-3.1-8B-Instruct,addExample,612,companyName,389,2,addExample,1.57,61.14% vs 38.86%
MadeAgents_Hammer2.1-7b,increaseLength,457,numbersLine,713,2,numbersLine,1.56,39.06% vs 60.94%
meta-llama_Llama-3.1-8B-Instruct,companyName,432,increaseLength,634,2,increaseLength,1.47,40.53% vs 59.47%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,668,numbersLine,463,2,addExample,1.44,59.06% vs 40.94%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,473,maintenanceLine,680,2,maintenanceLine,1.44,41.02% vs 58.98%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,487,maintenanceLine,696,2,maintenanceLine,1.43,41.17% vs 58.83%
Team-ACE_ToolACE-2-8B,addExample,435,endorsementLine,624,2,endorsementLine,1.43,41.08% vs 58.92%
Team-ACE_ToolACE-2-8B,endorsementLine,381,fusion,534,2,fusion,1.4,41.64% vs 58.36%
meta-llama_Llama-3.1-8B-Instruct,addExample,587,maintenanceLine,424,2,addExample,1.38,58.06% vs 41.94%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,650,makeCasual,477,2,addExample,1.36,57.68% vs 42.32%
MadeAgents_Hammer2.1-7b,increaseLength,497,makeCasual,671,2,makeCasual,1.35,42.55% vs 57.45%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,608,fusion,449,2,endorsementLine,1.35,57.52% vs 42.48%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,487,maintenanceLine,655,2,maintenanceLine,1.34,42.64% vs 57.36%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,626,increaseLength,483,2,addExample,1.3,56.45% vs 43.55%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,631,makeProfessional,487,2,addExample,1.3,56.44% vs 43.56%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,647,numbersLine,502,2,addExample,1.29,56.31% vs 43.69%
MadeAgents_Hammer2.1-7b,increaseLength,503,makeProfessional,643,2,makeProfessional,1.28,43.89% vs 56.11%
Team-ACE_ToolACE-2-8B,addExample,545,increaseLength,427,2,addExample,1.28,56.07% vs 43.93%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,673,makeCasual,542,2,maintenanceLine,1.24,55.39% vs 44.61%
meta-llama_Llama-3.1-8B-Instruct,companyName,675,makeProfessional,545,2,companyName,1.24,55.33% vs 44.67%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,202,fusion,164,2,endorsementLine,1.23,55.19% vs 44.81%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,629,companyName,517,2,addExample,1.22,54.89% vs 45.11%
Team-ACE_ToolACE-2-8B,increaseLength,612,maintenanceLine,514,2,increaseLength,1.19,54.35% vs 45.65%
Team-ACE_ToolACE-2-8B,increaseLength,605,makeProfessional,514,2,increaseLength,1.18,54.07% vs 45.93%
MadeAgents_Hammer2.1-7b,addExample,542,companyName,636,2,companyName,1.17,46.01% vs 53.99%
MadeAgents_Hammer2.1-7b,endorsementLine,617,fusion,527,2,endorsementLine,1.17,53.93% vs 46.07%
Team-ACE_ToolACE-2-8B,companyName,511,increaseLength,597,2,increaseLength,1.17,46.12% vs 53.88%
Team-ACE_ToolACE-2-8B,increaseLength,599,numbersLine,512,2,increaseLength,1.17,53.92% vs 46.08%
meta-llama_Llama-3.1-8B-Instruct,companyName,570,maintenanceLine,666,2,maintenanceLine,1.17,46.12% vs 53.88%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,593,maintenanceLine,508,2,increaseLength,1.17,53.86% vs 46.14%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,720,makeProfessional,623,2,companyName,1.16,53.61% vs 46.39%
Team-ACE_ToolACE-2-8B,increaseLength,595,makeCasual,515,2,increaseLength,1.16,53.60% vs 46.40%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,528,maintenanceLine,605,2,maintenanceLine,1.15,46.60% vs 53.40%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,520,maintenanceLine,598,2,maintenanceLine,1.15,46.51% vs 53.49%
Salesforce_Llama-xLAM-2-8b-fc-r,makeProfessional,634,numbersLine,731,2,numbersLine,1.15,46.45% vs 53.55%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,606,makeCasual,535,2,increaseLength,1.13,53.11% vs 46.89%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,662,increaseLength,587,2,companyName,1.13,53.00% vs 47.00%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,704,makeCasual,623,2,companyName,1.13,53.05% vs 46.95%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,662,numbersLine,747,2,numbersLine,1.13,46.98% vs 53.02%
Salesforce_Llama-xLAM-2-8b-fc-r,makeCasual,623,numbersLine,705,2,numbersLine,1.13,46.91% vs 53.09%
meta-llama_Llama-3.1-8B-Instruct,companyName,641,makeCasual,569,2,companyName,1.13,52.98% vs 47.02%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,742,maintenanceLine,663,2,companyName,1.12,52.81% vs 47.19%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,645,makeProfessional,574,2,maintenanceLine,1.12,52.91% vs 47.09%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,547,numbersLine,606,2,numbersLine,1.11,47.44% vs 52.56%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,610,numbersLine,676,2,numbersLine,1.11,47.43% vs 52.57%
meta-llama_Llama-3.1-8B-Instruct,makeProfessional,580,numbersLine,642,2,numbersLine,1.11,47.46% vs 52.54%
MadeAgents_Hammer2.1-7b,companyName,646,numbersLine,709,2,tie,1.1,47.68% vs 52.32%
MadeAgents_Hammer2.1-7b,makeProfessional,593,numbersLine,654,2,numbersLine,1.1,47.55% vs 52.45%
meta-llama_Llama-3.1-8B-Instruct,makeCasual,587,numbersLine,637,2,tie,1.09,47.96% vs 52.04%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,543,increaseLength,589,2,tie,1.08,47.97% vs 52.03%
MadeAgents_Hammer2.1-7b,addExample,605,maintenanceLine,568,2,tie,1.07,51.58% vs 48.42%
MadeAgents_Hammer2.1-7b,makeCasual,604,numbersLine,644,2,tie,1.07,48.40% vs 51.60%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,544,fusion,580,2,tie,1.07,48.40% vs 51.60%
meta-llama_Llama-3.1-8B-Instruct,companyName,606,numbersLine,648,2,tie,1.07,48.33% vs 51.67%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,598,numbersLine,562,2,tie,1.06,51.55% vs 48.45%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,781,numbersLine,739,2,tie,1.06,51.38% vs 48.62%
MadeAgents_Hammer2.1-7b,companyName,693,maintenanceLine,661,2,tie,1.05,51.18% vs 48.82%
meta-llama_Llama-3.1-8B-Instruct,makeCasual,606,makeProfessional,576,2,tie,1.05,51.27% vs 48.73%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,579,makeProfessional,555,2,tie,1.04,51.06% vs 48.94%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,576,numbersLine,558,2,tie,1.03,50.79% vs 49.21%
Team-ACE_ToolACE-2-8B,companyName,543,makeCasual,562,2,tie,1.03,49.14% vs 50.86%
Team-ACE_ToolACE-2-8B,maintenanceLine,549,numbersLine,531,2,tie,1.03,50.83% vs 49.17%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,636,numbersLine,615,2,tie,1.03,50.84% vs 49.16%
MadeAgents_Hammer2.1-7b,makeCasual,616,makeProfessional,601,2,tie,1.02,50.62% vs 49.38%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,581,makeCasual,572,2,tie,1.02,50.39% vs 49.61%
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,574,numbersLine,583,2,tie,1.02,49.61% vs 50.39%
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,572,numbersLine,586,2,tie,1.02,49.40% vs 50.60%
Team-ACE_ToolACE-2-8B,companyName,551,numbersLine,542,2,tie,1.02,50.41% vs 49.59%
Team-ACE_ToolACE-2-8B,maintenanceLine,558,makeCasual,546,2,tie,1.02,50.54% vs 49.46%
Team-ACE_ToolACE-2-8B,makeCasual,554,numbersLine,542,2,tie,1.02,50.55% vs 49.45%
MadeAgents_Hammer2.1-7b,maintenanceLine,676,numbersLine,681,2,tie,1.01,49.82% vs 50.18%
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,575,makeProfessional,581,2,tie,1.01,49.74% vs 50.26%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,607,makeCasual,601,2,tie,1.01,50.25% vs 49.75%
Team-ACE_ToolACE-2-8B,companyName,545,maintenanceLine,553,2,tie,1.01,49.64% vs 50.36%
Team-ACE_ToolACE-2-8B,companyName,551,makeProfessional,554,2,tie,1.01,49.86% vs 50.14%
Team-ACE_ToolACE-2-8B,makeCasual,541,makeProfessional,546,2,tie,1.01,49.77% vs 50.23%
Team-ACE_ToolACE-2-8B,maintenanceLine,542,makeProfessional,548,2,tie,1.01,49.72% vs 50.28%
Team-ACE_ToolACE-2-8B,makeProfessional,552,numbersLine,544,2,tie,1.01,50.36% vs 49.64%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,580,makeProfessional,580,2,tie,1.0,50.00% vs 50.00%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,590,makeProfessional,588,2,tie,1.0,50.08% vs 49.92%
Salesforce_Llama-xLAM-2-8b-fc-r,makeCasual,619,makeProfessional,619,2,tie,1.0,50.00% vs 50.00%
