model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1171,numbersLine,4,2,fusion,292.750,99.66% vs 0.34%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1168,makeProfessional,4,2,fusion,292.000,99.66% vs 0.34%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1170,makeCasual,5,2,fusion,234.000,99.57% vs 0.43%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,6,fusion,1175,2,fusion,195.830,0.51% vs 99.49%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1183,increaseLength,10,2,endorsementLine,118.300,99.16% vs 0.84%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,10,endorsementLine,1166,2,endorsementLine,116.600,0.85% vs 99.15%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,11,fusion,1154,2,fusion,104.910,0.94% vs 99.06%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1179,makeProfessional,18,2,maintenanceLine,65.500,98.50% vs 1.50%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1182,maintenanceLine,21,2,endorsementLine,56.290,98.25% vs 1.75%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1167,makeCasual,32,2,maintenanceLine,36.470,97.33% vs 2.67%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,86,maintenanceLine,1120,2,maintenanceLine,13.020,7.13% vs 92.87%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1083,numbersLine,119,2,maintenanceLine,9.100,90.10% vs 9.90%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,197,maintenanceLine,975,2,maintenanceLine,4.950,16.81% vs 83.19%,1.26e-226,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,236,maintenanceLine,953,2,maintenanceLine,4.040,19.85% vs 80.15%,4.54e-190,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,264,fusion,925,2,fusion,3.500,22.20% vs 77.80%,7.56e-162,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,912,makeCasual,268,2,addExample,3.400,77.29% vs 22.71%,6.85e-155,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,898,makeProfessional,276,2,addExample,3.250,76.49% vs 23.51%,2.36e-145,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,865,numbersLine,311,2,addExample,2.780,73.55% vs 26.45%,1.58e-115,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,802,companyName,371,2,addExample,2.160,68.37% vs 31.63%,7.48e-71,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,765,increaseLength,404,2,addExample,1.890,65.44% vs 34.56%,2.04e-50,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,760,makeProfessional,428,2,increaseLength,1.780,63.97% vs 36.03%,2.96e-42,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,749,makeCasual,431,2,increaseLength,1.740,63.47% vs 36.53%,3.67e-39,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,736,makeProfessional,464,2,companyName,1.590,61.33% vs 38.67%,1.19e-28,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,719,numbersLine,464,2,increaseLength,1.550,60.78% vs 39.22%,1.01e-25,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,709,makeCasual,497,2,companyName,1.430,58.79% vs 41.21%,5.96e-18,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,496,increaseLength,693,2,increaseLength,1.400,41.72% vs 58.28%,6.50e-16,True
Qwen_Qwen2.5-32B-Instruct-FC,makeProfessional,583,numbersLine,610,2,tie,1.050,48.87% vs 51.13%,2.69e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,companyName,605,numbersLine,627,2,tie,1.040,49.11% vs 50.89%,3.75e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,makeCasual,608,makeProfessional,588,2,tie,1.030,50.84% vs 49.16%,4.13e-01,False
Qwen_Qwen2.5-32B-Instruct-FC,makeCasual,593,numbersLine,603,2,tie,1.020,49.58% vs 50.42%,6.83e-01,False
