model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,545,maintenanceLine,669,2,maintenanceLine,1.230,44.89% vs 55.11%,4.83e-07,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,668,makeProfessional,549,2,increaseLength,1.220,54.89% vs 45.11%,1.41e-06,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,662,numbersLine,562,2,increaseLength,1.180,54.08% vs 45.92%,5.29e-05,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,545,maintenanceLine,634,2,maintenanceLine,1.160,46.23% vs 53.77%,2.47e-04,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,632,makeCasual,571,2,tie,1.110,52.54% vs 47.46%,1.29e-02,False
Qwen_Qwen2.5-14B-Instruct-FC,companyName,690,makeProfessional,739,2,tie,1.070,48.29% vs 51.71%,6.68e-02,False
Qwen_Qwen2.5-14B-Instruct-FC,companyName,690,makeCasual,726,2,tie,1.050,48.73% vs 51.27%,1.76e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeProfessional,744,numbersLine,757,2,tie,1.020,49.57% vs 50.43%,6.35e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeCasual,715,makeProfessional,719,2,tie,1.010,49.86% vs 50.14%,8.81e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeCasual,732,numbersLine,735,2,tie,1.000,49.90% vs 50.10%,9.12e-01,False
