model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
Qwen_Qwen2.5-7B-Instruct-FC,addExample,708,makeCasual,432,2,addExample,1.64,62.11% vs 37.89%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,702,makeProfessional,433,2,addExample,1.62,61.85% vs 38.15%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,668,numbersLine,463,2,addExample,1.44,59.06% vs 40.94%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,473,maintenanceLine,680,2,maintenanceLine,1.44,41.02% vs 58.98%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,487,maintenanceLine,655,2,maintenanceLine,1.34,42.64% vs 57.36%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,528,maintenanceLine,605,2,maintenanceLine,1.15,46.60% vs 53.40%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,606,makeCasual,535,2,increaseLength,1.13,53.11% vs 46.89%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,547,numbersLine,606,2,numbersLine,1.11,47.44% vs 52.56%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,543,increaseLength,589,2,tie,1.08,47.97% vs 52.03%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,544,fusion,580,2,tie,1.07,48.40% vs 51.60%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,598,numbersLine,562,2,tie,1.06,51.55% vs 48.45%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,579,makeProfessional,555,2,tie,1.04,51.06% vs 48.94%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,576,numbersLine,558,2,tie,1.03,50.79% vs 49.21%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,581,makeCasual,572,2,tie,1.02,50.39% vs 49.61%
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,574,numbersLine,583,2,tie,1.02,49.61% vs 50.39%
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,572,numbersLine,586,2,tie,1.02,49.40% vs 50.60%
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,575,makeProfessional,581,2,tie,1.01,49.74% vs 50.26%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,580,makeProfessional,580,2,tie,1.0,50.00% vs 50.00%
